timestamp,header.stamp.sec,header.stamp.nanosec,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z
1757564040906873493,1757564039,296546459,0.01863675269379938,0.004198068091045757,-0.06328306221318492,0.0016964098731166268,0.0007280518433697938,-0.0002005590069100844,0.999998275953584,0.0,0.0,0.0,0.0,0.0,0.0
1757564040916985318,1757564040,696865081,0.017612238555084165,0.0032819670940397614,-0.0647178655883743,0.0010766739739418519,0.00033002340825756337,0.0003450078387151525,0.9999993064134071,0.0,0.0,0.0,0.0,0.0,0.0
1757564040924162467,1757564040,796751499,0.018005960635478376,0.003350896735477565,-0.06490722868996175,0.0012662897478973897,0.00043173875862088343,0.0012180126438347404,0.9999983632772198,0.0,0.0,0.0,0.0,0.0,0.0
1757564040935392805,1757564040,894746780,0.018367239823714583,0.004312443264718342,-0.06525742898013057,0.0012841278695600012,0.0012647798502038697,-0.0004935654189275643,0.9999982538688368,0.0,0.0,0.0,0.0,0.0,0.0
1757564041028699251,1757564040,996456384,0.01858286944352021,0.005056585370658178,-0.06585748456861658,0.001641313532884068,-0.020249614315272526,-0.004086540813360903,0.9997852566397197,0.0,0.0,0.0,0.0,0.0,0.0
1757564041137901709,1757564041,96742153,0.01976431450809248,0.005595419060226554,-0.066927679964225,0.003361325764824789,-0.0606498119998958,-0.002883449084622738,0.9981492811773479,0.0,0.0,0.0,0.0,0.0,0.0
1757564041220477431,1757564041,196434259,0.021050649625810998,0.004593624171121735,-0.06867455676209075,0.004296723496116846,-0.097820583685289,-0.001967143479175327,0.995192846598688,0.0,0.0,0.0,0.0,0.0,0.0
1757564041344382429,1757564041,297350883,0.02181139635699786,0.0031216062944971123,-0.0706991573811038,0.0046573241114944925,-0.12478114407411542,0.0016071391301054126,0.9921720579211509,0.0,0.0,0.0,0.0,0.0,0.0
1757564041432103894,1757564041,395319938,0.024918866434735204,0.0029854071911075528,-0.07332862941870932,0.0001790887349583663,-0.1307273871981359,0.008363503207916912,0.991383059154061,0.0,0.0,0.0,0.0,0.0,0.0
1757564041518677097,1757564041,496061801,0.034399622822334885,0.00229564383472948,-0.07614965953167101,0.002668437628016754,-0.10376974562411313,0.015378288373843719,0.9944788723650307,0.0,0.0,0.0,0.0,0.0,0.0
1757564041640945887,1757564041,596139907,0.04990380637821278,0.000593847280167234,-0.07692606729497392,0.015515032285657674,-0.06851925582364952,0.018368158744822175,0.9973600182977423,0.0,0.0,0.0,0.0,0.0,0.0
