timestamp,header.stamp.sec,header.stamp.nanosec,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z
1757390543747267533,1757390541,178753137,-0.003929710007922518,-0.0013158057028449027,-0.04927872033740118,0.0002904181825874064,-4.7422706802100925e-05,-0.0013452688403358763,0.9999990518296071,0.0,0.0,0.0,0.0,0.0,0.0
1757390543759922848,1757390541,278820991,-0.003150399288789358,0.0010620604482432425,-0.05048340693944797,0.0009901464723585226,-0.0004949084902645866,-0.0006203845909666131,0.9999991948989304,0.0,0.0,0.0,0.0,0.0,0.0
1757390543768948399,1757390541,378821849,-0.0021796334509637623,0.0038147955331854473,-0.05140619388389694,0.00035653857747187207,0.00029856820946768775,0.0004802037968595889,0.9999997765707653,0.0,0.0,0.0,0.0,0.0,0.0
1757390543782520414,1757390541,475176095,-0.0031662806511606784,0.005461239387379904,-0.051779720418762304,0.00037757724010354385,-5.401375537331545e-05,0.0017464154408295936,0.9999984022742486,0.0,0.0,0.0,0.0,0.0,0.0
1757390543795748849,1757390541,577672719,-0.003085146374996547,0.007362616350590251,-0.05266833404205888,0.0010366468814050345,0.0002418065122734632,0.0005165572918450037,0.999999300030464,0.0,0.0,0.0,0.0,0.0,0.0
1757390543815451356,1757390541,678494930,-0.0025764415815856907,0.008578045784972088,-0.05311934885483347,0.0009027257984442844,0.00024741993065912986,0.0006447037265494318,0.9999993541130993,0.0,0.0,0.0,0.0,0.0,0.0
1757390543824391742,1757390541,778827190,-0.002011517056822966,0.00938295593569899,-0.05334959528907342,0.0008643189175761088,0.00023748474953692622,0.0006751272273129293,0.9999993703783164,0.0,0.0,0.0,0.0,0.0,0.0
1757390543833749208,1757390541,878849029,-0.001508428002953886,0.009923262034851825,-0.05346484049616578,0.0008454637790988968,0.00023012827282681007,0.000685131767712603,0.9999993814130272,0.0,0.0,0.0,0.0,0.0,0.0
1757390543848728503,1757390541,979754209,-0.0010866440399967265,0.010297067945728934,-0.05351975749832738,0.0008352818087104035,0.00022389598286470496,0.0006845579322066011,0.9999993917774783,0.0,0.0,0.0,0.0,0.0,0.0
1757390543859204793,1757390542,78836441,-0.0007422211176831364,0.010555652491880632,-0.05354003652984968,0.0008285254246816829,0.00021993148830610872,0.0006837975070671258,0.9999993987981843,0.0,0.0,0.0,0.0,0.0,0.0
1757390543867570309,1757390542,178762912,-0.0004644902186287334,0.010734394568992457,-0.05354073792891752,0.0008237216274278817,0.00021721005396814307,0.0006830614541769947,0.9999994038645836,0.0,0.0,0.0,0.0,0.0,0.0
1757390543874082881,1757390542,278924703,-0.0002422789563117717,0.010856584296531004,-0.053525076931397596,0.0008185932775365105,0.0002173343191986925,0.0006830253914290785,0.9999994080734019,0.0,0.0,0.0,0.0,0.0,0.0
1757390543889181467,1757390543,677978754,-0.0019923674726730492,0.009426270959400884,-0.05092309522428439,0.00021239402782639147,0.0013439065217963524,0.0018096808289704562,0.9999974369263825,0.0,0.0,0.0,0.0,0.0,0.0
1757390543900542375,1757390543,778589248,-0.0028390483317457076,0.006732594341028713,-0.05103890058327101,0.0006267316159647707,0.0006059503871353725,0.0022441518372472435,0.999997101902871,0.0,0.0,0.0,0.0,0.0,0.0
1757390543917608237,1757390543,878857135,-0.0014368591031528098,0.005267800922643682,-0.05202029462704801,0.0006840859515482143,-0.0006018871343713921,0.002315986591352675,0.9999969029774027,0.0,0.0,0.0,0.0,0.0,0.0
1757390544005995937,1757390543,980270624,-0.000901525134073457,0.005322578590229922,-0.0530109050673458,0.0005338046743265054,-0.0016459740027544804,0.0035555895297036465,0.9999921817720618,0.0,0.0,0.0,0.0,0.0,0.0
1757390544110896495,1757390544,78947305,-0.00021658227989728525,0.005354610325371198,-0.05323906206524641,0.0006005347554985809,-0.001690728334120064,0.004483005044616317,0.9999883416627803,0.0,0.0,0.0,0.0,0.0,0.0
1757390544218620072,1757390544,178832769,0.0008496334481188303,0.006680891699580291,-0.05338574032582559,0.00034184359416112176,-0.0025424147632742778,0.004383219749212138,0.9999871032442162,0.0,0.0,0.0,0.0,0.0,0.0
1757390544311471979,1757390544,279766082,0.0016784244375772656,0.005203763221191697,-0.05282966678113098,0.0014664423868794452,-0.007364622397659496,0.006866410882016777,0.9999482308026076,0.0,0.0,0.0,0.0,0.0,0.0
1757390544428530271,1757390544,378895998,0.0021398335495676456,0.004360628081683844,-0.05177679975248671,0.0022865408802754455,-0.01785947658183703,0.015147028845926166,0.999723150849357,0.0,0.0,0.0,0.0,0.0,0.0
1757390544509815940,1757390544,478902101,0.002491289442712082,0.00411669047925373,-0.050639221229884256,0.0024632838207118246,-0.031493892108089463,0.03163824075127775,0.9990000444018343,0.0,0.0,0.0,0.0,0.0,0.0
1757390544617628766,1757390544,578615665,0.002933841213980595,0.004799198225342142,-0.0509928041995628,0.004479231473566972,-0.04216971274226534,0.0478859414687756,0.9979521974635309,0.0,0.0,0.0,0.0,0.0,0.0
1757390544719084477,1757390544,678925991,0.004268680983734202,0.005615127132339973,-0.052222176326581646,0.00680487501502423,-0.04631202400438776,0.06565684176953758,0.9967437329812999,0.0,0.0,0.0,0.0,0.0,0.0
